2013
0.2322,0.3185,0.4346,0.4522,0.5021,0.5000,0.5199,0.5681,0.6075,0.5874,0.6097,0.6463,0.7808,0.8205,0.8795,1.0000,
0.2183,0.3015,0.4152,0.4325,0.4822,0.4801,0.5000,0.5484,0.5884,0.5680,0.5906,0.6279,0.7669,0.8085,0.8708,1.0000,
0.1870,0.2622,0.3689,0.3856,0.4340,0.4319,0.4516,0.5000,0.5407,0.5198,0.5429,0.5815,0.7304,0.7766,0.8474,1.0000,
0.1634,0.2319,0.3318,0.3477,0.3945,0.3925,0.4116,0.4593,0.5000,0.4790,0.5022,0.5414,0.6971,0.7470,0.8251,1.0000,
0.1752,0.2472,0.3506,0.3670,0.4147,0.4126,0.4320,0.4802,0.5210,0.5000,0.5232,0.5621,0.7145,0.7625,0.8368,1.0000,
0.1622,0.2303,0.3298,0.3457,0.3923,0.3903,0.4094,0.4571,0.4978,0.4768,0.5000,0.5391,0.6952,0.7453,0.8238,1.0000,
0.1420,0.2037,0.2961,0.3111,0.3556,0.3537,0.3721,0.4185,0.4586,0.4379,0.4609,0.5000,0.6610,0.7144,0.7998,1.0000,
0.0783,0.1160,0.1775,0.1881,0.2206,0.2192,0.2331,0.2696,0.3029,0.2855,0.3048,0.3390,0.5000,0.5620,0.6721,1.0000,
0.0621,0.0928,0.1440,0.1529,0.1807,0.1795,0.1915,0.2234,0.2530,0.2375,0.2547,0.2856,0.4380,0.5000,0.6150,1.0000,
0.0398,0.0602,0.0953,0.1016,0.1214,0.1205,0.1292,0.1526,0.1749,0.1632,0.1762,0.2002,0.3279,0.3850,0.5000,1.0000,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,
2018
0.5000,0.6063,0.7103,0.7337,0.7776,0.7655,0.7707,0.8125,0.8395,0.8211,0.8293,0.8645,0.9251,0.9376,0.9610,1.0000,
0.3937,0.5000,0.6143,0.6415,0.6943,0.6795,0.6859,0.7379,0.7725,0.7487,0.7594,0.8056,0.8891,0.9071,0.9412,1.0000,
0.2897,0.3857,0.5000,0.5291,0.5878,0.5710,0.5782,0.6387,0.6808,0.6517,0.6646,0.7224,0.8343,0.8598,0.9095,1.0000,
0.2663,0.3585,0.4709,0.5000,0.5593,0.5423,0.5496,0.6114,0.6549,0.6248,0.6381,0.6985,0.8175,0.8451,0.8994,1.0000,
0.2224,0.3057,0.4122,0.4407,0.5000,0.4828,0.4902,0.5535,0.5993,0.5675,0.5815,0.6461,0.7793,0.8113,0.8757,1.0000,
0.2345,0.3205,0.4290,0.4577,0.5172,0.5000,0.5074,0.5704,0.6157,0.5843,0.5981,0.6616,0.7909,0.8216,0.8830,1.0000,
0.2293,0.3141,0.4218,0.4504,0.5098,0.4926,0.5000,0.5632,0.6087,0.5771,0.5910,0.6550,0.7860,0.8173,0.8799,1.0000,
0.1875,0.2621,0.3613,0.3886,0.4465,0.4296,0.4368,0.5000,0.5468,0.5142,0.5285,0.5956,0.7402,0.7762,0.8504,1.0000,
0.1605,0.2275,0.3192,0.3451,0.4007,0.3843,0.3913,0.4532,0.5000,0.4674,0.4816,0.5497,0.7025,0.7420,0.8249,1.0000,
0.1789,0.2513,0.3483,0.3752,0.4325,0.4157,0.4229,0.4858,0.5326,0.5000,0.5143,0.5818,0.7291,0.7662,0.8430,1.0000,
0.1707,0.2406,0.3354,0.3619,0.4185,0.4019,0.4090,0.4715,0.5184,0.4857,0.5000,0.5678,0.7176,0.7558,0.8353,1.0000,
0.1355,0.1944,0.2776,0.3015,0.3539,0.3384,0.3450,0.4044,0.4503,0.4182,0.4322,0.5000,0.6592,0.7020,0.7942,1.0000,
0.0749,0.1109,0.1657,0.1825,0.2207,0.2091,0.2140,0.2598,0.2975,0.2709,0.2824,0.3408,0.5000,0.5491,0.6662,1.0000,
0.0624,0.0929,0.1402,0.1549,0.1887,0.1784,0.1827,0.2238,0.2580,0.2338,0.2442,0.2980,0.4509,0.5000,0.6210,1.0000,
0.0390,0.0588,0.0905,0.1006,0.1243,0.1170,0.1201,0.1496,0.1751,0.1570,0.1647,0.2058,0.3338,0.3790,0.5000,1.0000,
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,
2019
0.5000,0.6130,0.7061,0.7450,0.7842,0.7633,0.7729,0.8116,0.8319,0.8256,0.8205,0.8727,0.9268,0.9381,0.9630,0.9929,
0.3870,0.5000,0.6027,0.6485,0.6964,0.6706,0.6824,0.7312,0.7575,0.7493,0.7427,0.8123,0.8887,0.9054,0.9427,0.9888,
0.2939,0.3973,0.5000,0.5488,0.6019,0.5731,0.5862,0.6420,0.6732,0.6634,0.6555,0.7404,0.8404,0.8631,0.9155,0.9831,
0.2550,0.3515,0.4512,0.5000,0.5542,0.5246,0.5381,0.5959,0.6288,0.6184,0.6100,0.7011,0.8124,0.8383,0.8991,0.9795,
0.2158,0.3036,0.3981,0.4458,0.5000,0.4703,0.4837,0.5425,0.5767,0.5659,0.5572,0.6536,0.7769,0.8066,0.8776,0.9747,
0.2367,0.3294,0.4269,0.4754,0.5297,0.5000,0.5135,0.5719,0.6055,0.5948,0.5863,0.6800,0.7969,0.8245,0.8898,0.9775,
0.2271,0.3176,0.4138,0.4619,0.5163,0.4865,0.5000,0.5587,0.5925,0.5818,0.5732,0.6682,0.7880,0.8166,0.8844,0.9762,
0.1884,0.2688,0.3580,0.4041,0.4575,0.4281,0.4413,0.5000,0.5346,0.5236,0.5148,0.6140,0.7460,0.7786,0.8580,0.9701,
0.1681,0.2425,0.3268,0.3712,0.4233,0.3945,0.4075,0.4654,0.5000,0.4889,0.4801,0.5807,0.7188,0.7538,0.8403,0.9658,
0.1744,0.2507,0.3366,0.3816,0.4341,0.4052,0.4182,0.4764,0.5111,0.5000,0.4912,0.5914,0.7277,0.7619,0.8461,0.9672,
0.1795,0.2573,0.3445,0.3900,0.4428,0.4137,0.4268,0.4852,0.5199,0.5088,0.5000,0.5999,0.7346,0.7683,0.8507,0.9683,
0.1273,0.1877,0.2596,0.2989,0.3464,0.3200,0.3318,0.3860,0.4193,0.4086,0.4001,0.5000,0.6486,0.6886,0.7916,0.9533,
